Designator,Mid X,Mid Y,Rotation,Layer
SW41,123.825,-132.08,0.0,top
SW42,104.5112,-132.074,0.0,top
SW43,104.648,-121.92,0.0,top
SW44,85.217,-182.874,0.0,top
SW45,133.477,-132.08,0.0,top
SW46,114.1632,-132.074,0.0,top
SW47,114.3,-182.874,0.0,top
SW48,99.695,-182.88,0.0,top
SW49,94.869,-121.92,0.0,top
SW5,65.9032,-142.234,0.0,top
SW50,94.8592,-132.074,0.0,top
SW51,85.2072,-132.074,0.0,top
SW52,65.913,-182.88,0.0,top
SW53,75.565,-182.874,0.0,top
SW54,143.1192,-132.074,0.0,top
SW55,114.173,-121.92,0.0,top
SW56,133.6138,-182.88,0.0,top
SW57,123.9618,-182.88,0.0,top
SW58,65.904,-121.9084,0.0,top
SW59,65.904,-132.0684,0.0,top
SW6,65.9032,-152.394,0.0,top
SW60,56.252,-132.0684,0.0,top
SW61,75.556,-132.0684,0.0,top
SW62,85.217,-121.92,0.0,top
SW63,69.977,-86.868,90.0,top
SW65,69.977,-96.139,90.0,top
SW66,61.722,-91.567,90.0,top
SW67,78.105,-91.5,90.0,top
SW68,114.3,-90.043,180.0,top
SW69,123.698,-90.043,180.0,top
SW7,65.9032,-162.554,0.0,top
SW70,114.3,-98.552,0.0,top
SW71,123.698,-98.552,0.0,top
SW72,87.376,-38.988,270.0,bottom
SW75,71.8914,-35.305,270.0,bottom
SW76,61.341,-38.354,90.0,bottom
SW8,65.9032,-172.714,0.0,top
SW9,75.5552,-142.234,0.0,top
U1,66.04,-109.728,0.0,bottom
U2,139.7342,-120.523,0.0,bottom
U3,101.092,-54.5338,0.0,bottom
U4,104.648,-109.474,0.0,bottom
U5,83.6422,-58.8518,180.0,bottom
U6,131.6736,-81.36,180.0,bottom
U7,69.3166,-70.9788,180.0,bottom
